Unnamed: 0,authors,published_date,description,isbn_10,isbn_13,page_count,categories,maturity_rating,language,join_isbn_10
,,1996,"Kintu, the first man on earth, passes the tests required to marry the first woman but fails to heed her warning and consequently brings death into the world.",1575720159,9781575720159.0,32.0,['Juvenile Nonfiction'],NOT_MATURE,en,1575720159
,['George Sand'],1993,George Sand's violently romantic novel echoes her own life and portrays a beautiful Creole woman who abandons her husband for a handsome young lover,0451525728,9780451525727.0,272.0,['Fiction'],NOT_MATURE,en,0451525728
,,,,,,,,,,0140115234
,['Maureen Waller'],2002-01-01,"This work recreates the late Stuart era, in a narrative that highlights the influence of three women in one of the most momentous events in our history: a palace coup that changed the face of the monarchy and signalled the end of a dynasty. In 1688, seven prominent men invited William of Orange - James' nephew and son-in-law - to intervene in English affairs. But it was the women, Queen Mary Beatrice and her stepdaughters Mary and Anne who played a key role in this drama. Jealous and resentful, Anne had written malicious letters to her sister Mary, implying that the Queen's pregnancy was a hoax, a Catholic plot to deny Mary her rightful inheritance.",0340794615,9780340794616.0,454.0,['Great Britain'],NOT_MATURE,en,0340794615
,"['Thomas Bien, Ph.D.', 'Beverly Bien']",2003-09-29,"""Finding the Center Within is a practical manual on the practice of mindfulness, which can help many people to embody their Buddha nature and become radiant and peaceful beings. It provides easy steps for practicing mindfulness in day-to-day living."" -Thich Nhat Hanh, author of Peace Is Every Step, The Miracle of Mindfulness, and Anger: Wisdom for Cooling the Flames All of us want to live a calmer, more peaceful existence. Thomas and Beverly Bien teach that if we find the center within through ongoing mindfulness, we will have the capacity to live deeply and fully-with boundless peace and happiness-in any external circumstance. We can learn to be calm in the midst of the storm. Finding the Center Within offers a step-by-step program for breaking down the barriers that prevent us from actualizing our wise inner self. The Biens combine Eastern spiritual wisdom with the pragmatic wisdom of Western psychology, teaching us how to remove the walls that conceal who and what we really are and face our lives with greater honesty. They provide the tools needed to: * Find a path to the center through mindfulness * Bring meditation into everyday life * Work with and transform negative emotions * Cultivate healthy, healing relationships * Use dreams to achieve maximum wholeness and self-acceptance You'll discover how to find greater peace, joy, and love in your life and deepen your capacity for psychological and spiritual well-being. Let Finding the Center Within inspire and guide you as you make the journey to awareness and open yourself to a world of happiness.",047126394X,9780471263944.0,288.0,['Self-Help'],NOT_MATURE,en,047126394X
,['Mary Reid'],1996,"While staying with their aunt, Steff and her younger sister Paulie discover that someone really is after the valuable old clock that Aunt Opal keeps hidden amid all the other stuff that is crammed into her house.",1556617151,9781556617157.0,76.0,['Aunts'],NOT_MATURE,en,1556617151
,['Antonia Fraser'],1997-01-01,"The central purpose of this book is the recreation of Cromwell's life and character, freed from the distortions of myth and Royalist propaganda. Of Cromwell's fitness for high office, the book leaves no doubt - under his rule English prestige abroad rose to a level unequalled since Elizabeth I.",0297818155,9780297818151.0,774.0,['Generals'],NOT_MATURE,en,0297818155
,['Sonia Black'],2000,Chronicles the life and education of the first African American woman astronaut.,1572558016,9781572558014.0,64.0,['Juvenile Nonfiction'],NOT_MATURE,en,1572558016
,['Nora Roberts'],1999,"3. Band der Irland-Saga und Forts. von äTöchter des Windesä. - Von ihrer sterbenden Mutter erfährt die Amerikanerin Shannon die Wahrheit über ihren leiblichen Vater und die Existenz ihrer Halbschwestern. Sie reist nach Irland, um die beiden kennenzulernen.",3442350530,9783442350537.0,408.0,,NOT_MATURE,de,3442350530
,['Vladimir Volkoff'],1975-01-01,,0800875524,9780800875527.0,348.0,,NOT_MATURE,en,0800875524
